,ï»¿S_No,State,st_case,PERMVIT,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD,LGT_COND,WEATHER,DRUNK_DR,fatals,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,Cname,Sname,lighting,climate,drunk
19225,19226,36,360127,4,103,1337,11,2,2015,4,11,5,40.86878889,-73.00108333,1,1,0,1,99,99,99,99,99,99,CORAM,New York,Daylight,Clear,FALSE
19226,19227,36,360128,1,103,705,23,1,2015,6,16,55,40.82600278,-73.07102222,1,1,1,1,99,99,99,99,99,99,BROOKHAVEN,New York,Daylight,Clear,TRUE
19227,19228,36,360129,1,81,4170,17,3,2015,3,14,49,40.76523056,-73.88885278,1,1,0,1,14,49,99,99,99,99,NEW YORK CITY,New York,Daylight,Clear,FALSE
19228,19229,36,360130,2,107,5910,20,3,2015,6,21,42,42.22628056,-76.49432222,2,1,0,1,21,42,21,51,99,99,SPENCER,New York,Dark,Clear,FALSE
19229,19230,36,360131,1,103,360,28,2,2015,7,2,40,40.75685833,-73.32910833,3,1,1,1,99,99,99,99,88,88,BABYLON,New York,Dark,Clear,TRUE
19230,19231,36,360132,1,103,360,7,2,2015,7,20,25,40.75948333,-73.32823333,3,10,0,1,99,99,99,99,99,99,BABYLON,New York,Dark,Unknown,FALSE
19231,19232,36,360134,2,99,6440,18,3,2015,4,6,54,42.91563333,-76.86016111,4,4,0,1,6,57,6,59,7,14,WATERLOO,New York,Dawn,Snow,FALSE
19232,19233,36,360135,5,85,4170,20,3,2015,6,4,50,40.56156944,-74.19820278,3,1,0,2,4,50,99,99,99,99,NEW YORK CITY,New York,Dark,Clear,FALSE
19233,19234,36,360136,1,59,2600,21,3,2015,7,9,53,40.70625278,-73.68089444,1,10,0,1,9,56,9,59,10,24,HEMPSTEAD,New York,Daylight,Unknown,FALSE
19234,19235,36,360137,2,33,3460,17,3,2015,3,21,13,44.82709722,-74.34272778,2,10,1,1,21,13,21,20,22,3,MALONE,New York,Dark,Unknown,TRUE
19235,19236,36,360138,1,5,4170,20,3,2015,6,18,34,40.83905556,-73.91333333,1,4,0,2,18,34,99,99,99,99,NEW YORK CITY,New York,Daylight,Snow,FALSE
19236,19237,36,360139,1,81,4170,1,4,2015,4,23,38,40.75314722,-73.79264444,3,1,0,1,23,38,99,99,99,99,NEW YORK CITY,New York,Dark,Clear,FALSE
19237,19238,36,360140,1,1,2464,1,4,2015,4,22,56,42.6896,-73.86429167,3,10,1,1,22,56,22,59,23,17,GUILDERLAND,New York,Dark,Unknown,TRUE
19238,19239,36,360141,1,91,2469,2,4,2015,5,15,32,99.9999,999.9999,1,1,0,1,15,32,15,35,88,88,HADLEY,New York,Daylight,Clear,FALSE
19239,19240,36,360142,4,47,4170,9,3,2015,2,0,6,40.67163611,-73.95035,3,1,0,1,0,6,0,6,99,99,NEW YORK CITY,New York,Dark,Clear,FALSE
19240,19241,36,360143,1,85,4170,24,3,2015,3,10,47,40.53988056,-74.18691389,1,10,0,1,99,99,99,99,99,99,NEW YORK CITY,New York,Daylight,Unknown,FALSE
19241,19242,36,360144,1,77,5170,18,1,2015,1,0,45,42.7883,-75.006225,2,1,0,1,0,45,0,59,88,88,RICHFIELD SPGS,New York,Dark,Clear,FALSE
19242,19243,36,360145,1,67,3500,25,3,2015,4,8,56,43.00190556,-75.97663611,1,1,0,1,8,59,99,99,88,88,MANLIUS,New York,Daylight,Clear,FALSE
19243,19244,36,360146,1,59,3120,26,3,2015,5,10,45,40.77663333,-73.71364722,1,10,0,1,10,45,10,52,99,99,LAKE SUCCESS,New York,Daylight,Unknown,FALSE
19244,19245,36,360147,2,81,4170,3,2,2015,3,19,54,40.71263056,-73.89937778,3,1,0,1,19,54,99,99,99,99,NEW YORK CITY,New York,Dark,Clear,FALSE
19245,19246,36,360148,1,1,50,26,3,2015,5,14,56,42.69301111,-73.83087222,1,2,0,1,14,56,15,0,15,21,ALBANY,New York,Daylight,Rain,FALSE
19246,19247,36,360149,3,61,4170,2,4,2015,5,12,45,40.81315833,-73.95033333,1,1,0,1,12,45,99,99,99,99,NEW YORK CITY,New York,Daylight,Clear,FALSE
19247,19248,36,360150,2,69,1961,3,4,2015,6,17,28,43.03079167,-77.34195833,1,10,0,1,17,32,17,40,19,48,FARMINGTON,New York,Daylight,Unknown,FALSE
19248,19249,36,360151,3,91,3462,3,4,2015,6,12,40,42.9687,-73.82256944,1,1,0,1,12,40,12,47,99,99,MALTA,New York,Daylight,Clear,FALSE
19249,19250,36,360152,2,81,4170,5,4,2015,1,4,25,40.71664722,-73.79978611,3,1,1,2,4,25,99,99,88,88,NEW YORK CITY,New York,Dark,Clear,TRUE
19250,19251,36,360153,1,117,4640,5,4,2015,1,17,9,43.05069444,-77.19166389,1,4,1,1,17,11,17,15,18,18,PALMYRA,New York,Daylight,Snow,TRUE
19251,19252,36,360154,2,5,4170,5,4,2015,1,17,14,40.82540278,-73.92346111,1,1,0,1,99,99,99,99,99,99,NEW YORK CITY,New York,Daylight,Clear,FALSE
19252,19253,36,360155,1,47,4170,25,3,2015,4,15,30,40.64986667,-73.88853889,1,2,0,1,99,99,99,99,99,99,NEW YORK CITY,New York,Daylight,Rain,FALSE
19253,19254,36,360156,2,63,3340,8,4,2015,4,14,30,43.14449722,-78.81756667,1,2,0,1,14,30,14,44,99,99,LOCKPORT,New York,Daylight,Rain,FALSE
19254,19255,36,360157,4,59,4090,9,4,2015,5,10,30,40.78377222,-73.70441944,1,10,0,1,99,99,10,35,10,45,NEW HYDE PARK,New York,Daylight,Unknown,FALSE
19255,19256,36,360158,2,81,4170,9,4,2015,5,13,11,40.75093333,-73.74899722,1,10,0,1,13,24,13,24,99,99,NEW YORK CITY,New York,Daylight,Unknown,FALSE
19256,19257,36,360159,2,121,4750,5,3,2015,5,8,23,42.74966944,-77.99088611,1,10,0,1,8,23,8,26,8,45,PERRY,New York,Daylight,Unknown,FALSE
19257,19258,36,360160,3,1,50,3,4,2015,6,17,15,42.6558,-73.78370278,1,1,0,1,17,17,17,23,17,34,ALBANY,New York,Daylight,Clear,FALSE
19258,19259,36,360161,1,103,360,1,1,2015,5,7,19,40.67422222,-73.39664722,1,1,1,1,7,20,7,26,7,49,BABYLON,New York,Daylight,Clear,TRUE
19259,19260,36,360162,1,5,4170,23,2,2015,2,18,57,40.87423333,-73.91026111,2,1,0,1,99,99,99,99,99,99,NEW YORK CITY,New York,Dark,Clear,FALSE
19260,19261,36,360163,2,5,4170,26,2,2015,5,20,24,40.84440278,-73.90281389,3,1,0,1,99,99,99,99,99,99,NEW YORK CITY,New York,Dark,Clear,FALSE
19261,19262,36,360164,7,91,1209,29,3,2015,1,6,34,99.9999,999.9999,4,1,0,1,6,36,6,43,7,38,CLIFTON PARK,New York,Dawn,Clear,FALSE
19262,19263,36,360165,1,83,6110,17,1,2015,7,21,14,42.71696111,-73.69213056,3,10,0,1,21,16,21,18,21,29,TROY,New York,Dark,Unknown,FALSE
19263,19264,36,360166,2,81,4170,17,1,2015,7,19,13,40.75650278,-73.94720278,3,1,0,1,99,99,99,99,99,99,NEW YORK CITY,New York,Dark,Clear,FALSE
19264,19265,36,360167,1,81,4170,31,1,2015,7,19,59,40.59930833,-73.76210278,3,1,1,1,99,99,99,99,99,99,NEW YORK CITY,New York,Dark,Clear,TRUE
19265,19266,36,360168,1,47,4170,27,2,2015,6,19,3,40.62798611,-74.03996667,3,1,0,1,99,99,99,99,99,99,NEW YORK CITY,New York,Dark,Clear,FALSE
19266,19267,36,360169,1,25,180,6,4,2015,2,7,40,42.20036944,-74.81952778,1,10,1,1,7,40,7,57,8,50,ANDES,New York,Daylight,Unknown,TRUE
19267,19268,36,360170,2,81,4170,20,2,2015,6,7,54,99.9999,999.9999,1,1,0,1,99,99,99,99,99,99,NEW YORK CITY,New York,Daylight,Clear,FALSE
19268,19269,36,360171,2,83,1648,11,4,2015,7,6,1,42.64414167,-73.69837778,4,1,0,1,6,2,6,6,88,88,EAST GREENBUSH,New York,Dawn,Clear,FALSE
19269,19270,36,360172,1,59,2600,12,4,2015,1,4,0,40.671675,-73.610775,3,1,1,1,99,99,99,99,88,88,HEMPSTEAD,New York,Dark,Clear,TRUE
19270,19271,36,360173,1,29,5940,13,4,2015,2,5,31,42.553025,-78.72157778,2,1,0,1,99,99,99,99,88,88,SPRINGVILLE,New York,Dark,Clear,FALSE
19271,19272,36,360174,2,55,5230,15,4,2015,4,23,6,43.18686667,-77.61368611,3,1,0,1,23,6,23,10,23,24,ROCHESTER,New York,Dark,Clear,FALSE
19272,19273,36,360175,1,47,4170,12,4,2015,1,22,57,40.67729722,-73.93025833,3,1,0,1,22,57,99,99,99,99,NEW YORK CITY,New York,Dark,Clear,FALSE
19273,19274,36,360176,1,47,4170,5,1,2015,2,22,35,40.64138889,-73.98906389,3,1,0,1,22,27,22,30,22,50,NEW YORK CITY,New York,Dark,Clear,FALSE
19274,19275,36,360177,1,47,4170,18,4,2015,7,11,31,40.68063611,-73.95336111,1,1,0,1,99,99,99,99,99,99,NEW YORK CITY,New York,Daylight,Clear,FALSE
19275,19276,36,360178,1,5,4170,2,4,2015,5,21,54,40.90588611,-73.90435833,3,1,0,1,21,54,99,99,99,99,NEW YORK CITY,New York,Dark,Clear,FALSE
19276,19277,36,360179,2,79,630,14,4,2015,3,19,18,99.9999,999.9999,1,10,1,1,19,18,19,21,88,88,BREWSTER,New York,Daylight,Unknown,TRUE
19277,19278,36,360180,2,103,2920,9,3,2015,2,0,35,40.80435556,-73.28712222,3,1,1,1,99,99,99,99,99,99,ISLIP,New York,Dark,Clear,TRUE
19278,19279,36,360181,1,103,1337,14,3,2015,7,5,50,99.9999,999.9999,3,2,0,1,99,99,99,99,88,88,CORAM,New York,Dark,Rain,FALSE
19279,19280,36,360182,4,5,4170,18,4,2015,7,1,55,40.88143889,-73.84873611,3,1,0,1,1,55,99,99,99,99,NEW YORK CITY,New York,Dark,Clear,FALSE
19280,19281,36,360183,1,103,705,15,3,2015,1,17,3,40.92182222,-73.01711111,1,10,1,1,99,99,99,99,99,99,BROOKHAVEN,New York,Daylight,Unknown,TRUE
19281,19282,36,360184,1,103,3103,17,3,2015,3,13,37,40.83854444,-73.11184722,1,1,1,1,99,99,99,99,99,99,LAKE GROVE,New York,Daylight,Clear,TRUE
19282,19283,36,360185,2,103,705,21,3,2015,7,3,44,40.81188611,-73.08384722,3,3,1,2,3,44,3,51,99,99,BROOKHAVEN,New York,Dark,Rain,TRUE
19283,19284,36,360186,1,103,705,23,3,2015,2,23,15,40.87299722,-73.123775,3,1,0,1,99,99,99,99,99,99,BROOKHAVEN,New York,Dark,Clear,FALSE
19284,19285,36,360187,5,103,1549,30,3,2015,2,15,30,40.79565278,-73.29739167,1,10,0,1,15,37,15,59,16,11,DIX HILLS,New York,Daylight,Unknown,FALSE
19285,19286,36,360188,5,59,4090,6,3,2015,6,23,6,40.77150833,-73.62573611,3,1,0,2,23,6,23,15,99,99,NEW HYDE PARK,New York,Dark,Clear,FALSE
19286,19287,36,360189,2,103,5769,13,3,2015,6,0,5,40.86048889,-73.21509167,3,1,1,1,99,99,99,99,99,99,SMITHTOWN,New York,Dark,Clear,TRUE
19287,19288,36,360190,3,9,6823,28,3,2015,7,6,10,42.46827222,-78.48180278,2,4,0,1,6,26,6,32,7,1,YORKSHIRE,New York,Dark,Snow,FALSE
19288,19289,36,360191,5,89,5339,18,4,2015,7,21,27,44.36130833,-75.08352778,2,1,1,1,21,27,21,52,22,12,RUSSELL,New York,Dark,Clear,TRUE
19289,19290,36,360192,2,61,4170,19,4,2015,1,10,47,40.71379444,-74.00884444,1,1,0,1,99,99,99,99,99,99,NEW YORK CITY,New York,Daylight,Clear,FALSE
19290,19291,36,360193,1,59,3120,20,4,2015,2,19,30,40.76802222,-73.70240278,2,5,0,1,19,32,19,34,88,88,LAKE SUCCESS,New York,Dark,Snow,FALSE
19291,19292,36,360194,2,71,814,18,4,2015,7,21,29,41.47333056,-74.21019444,2,1,0,1,21,40,21,43,99,99,CAMPBELL HALL,New York,Dark,Clear,FALSE
19292,19293,36,360195,2,25,2487,21,4,2015,3,13,52,42.21895,-74.92661667,1,10,0,1,13,52,14,4,15,35,HAMDEN,New York,Daylight,Unknown,FALSE
19293,19294,36,360196,1,81,4170,20,4,2015,2,19,40,40.68029167,-73.84441111,5,2,0,1,99,99,99,99,99,99,NEW YORK CITY,New York,Dusk,Rain,FALSE
19294,19295,36,360197,1,47,4170,21,4,2015,3,5,21,99.9999,999.9999,3,2,0,1,99,99,99,99,99,99,NEW YORK CITY,New York,Dark,Rain,FALSE
19295,19296,36,360198,6,23,1380,24,4,2015,6,20,45,42.51051111,-76.19691667,3,1,1,1,20,51,21,1,21,19,CORTLAND,New York,Dark,Clear,TRUE
19296,19297,36,360199,1,27,4885,3,4,2015,6,20,56,41.73250556,-73.83735,3,2,0,1,20,56,21,10,99,99,PLEASANT VALLEY,New York,Dark,Rain,FALSE
19297,19298,36,360200,2,67,810,8,4,2015,4,10,50,43.03193056,-76.27370833,1,2,0,1,10,50,10,55,99,99,CAMILLUS,New York,Daylight,Rain,FALSE
19298,19299,36,360201,1,103,160,21,4,2015,3,9,34,40.67923611,-73.41821667,1,1,0,1,9,34,9,50,99,99,AMITYVILLE,New York,Daylight,Clear,FALSE
19299,19300,36,360202,2,59,4450,24,4,2015,6,9,37,40.76760833,-73.62560833,1,1,0,1,9,37,9,45,10,3,OLD WESTBURY,New York,Daylight,Clear,FALSE
19300,19301,36,360203,2,115,2440,19,2,2015,5,18,5,43.10208333,-73.52378333,3,10,0,1,18,5,18,19,99,99,GREENWICH,New York,Dark,Unknown,FALSE
19301,19302,36,360204,1,97,478,25,4,2015,7,19,43,42.27765833,-77.08867222,5,1,0,1,19,44,19,56,88,88,BEAVER DAMS,New York,Dusk,Clear,FALSE
19302,19303,36,360205,1,81,4170,25,4,2015,7,3,35,40.68639722,-73.78425556,3,1,0,1,99,99,99,99,99,99,NEW YORK CITY,New York,Dark,Clear,FALSE
19303,19304,36,360206,1,85,4170,26,4,2015,1,19,41,40.57623611,-74.10033333,3,1,0,1,19,41,99,99,99,99,NEW YORK CITY,New York,Dark,Clear,FALSE
19304,19305,36,360207,1,7,3453,25,4,2015,7,7,0,42.18400556,-76.05192222,1,1,1,1,99,99,7,0,88,88,MAINE,New York,Daylight,Clear,TRUE
19305,19306,36,360208,3,47,4170,26,4,2015,1,5,48,40.69938611,-73.95335,4,1,0,1,99,99,99,99,99,99,NEW YORK CITY,New York,Dawn,Clear,FALSE
19306,19307,36,360209,2,81,4170,28,4,2015,3,1,34,40.74219167,-73.80268056,3,1,1,2,1,34,1,41,88,88,NEW YORK CITY,New York,Dark,Clear,TRUE
19307,19308,36,360210,2,103,5680,30,4,2015,5,13,14,40.91544722,-72.89126389,1,1,0,2,13,14,13,16,13,53,SHOREHAM,New York,Daylight,Clear,FALSE
19308,19309,36,360211,9,47,4170,30,4,2015,5,0,37,40.64326667,-73.87605833,3,1,1,1,0,37,99,99,99,99,NEW YORK CITY,New York,Dark,Clear,TRUE
19309,19310,36,360212,1,27,3770,29,4,2015,4,15,11,41.969025,-73.54198333,1,1,0,1,15,12,15,24,16,30,MILLERTON,New York,Daylight,Clear,FALSE
19310,19311,36,360213,1,67,4310,2,4,2015,5,22,32,43.12511667,-76.13893056,3,2,0,1,22,31,22,33,22,47,NORTH SYRACUSE,New York,Dark,Rain,FALSE
19311,19312,36,360214,2,119,6820,27,2,2015,6,3,52,40.99303333,-73.83792222,2,10,1,1,99,99,99,99,99,99,YONKERS,New York,Dark,Unknown,TRUE
19312,19313,36,360215,2,75,5450,2,5,2015,7,2,19,43.64226389,-76.10210556,2,1,1,1,2,19,2,31,99,99,SANDY CREEK,New York,Dark,Clear,TRUE
19313,19314,36,360216,1,49,1310,2,5,2015,7,15,34,43.54969722,-75.51610278,1,1,1,1,15,37,15,45,16,16,CONSTABLEVILLE,New York,Daylight,Clear,TRUE
19314,19315,36,360217,1,55,5230,1,5,2015,6,1,37,43.20389722,-77.65692778,3,1,0,1,1,37,1,41,88,88,ROCHESTER,New York,Dark,Clear,FALSE
19315,19316,36,360218,3,29,6642,2,5,2015,7,4,20,99.9999,999.9999,3,1,2,1,4,20,4,22,99,99,WEST SENECA,New York,Dark,Clear,TRUE
19316,19317,36,360219,1,5,4170,3,5,2015,1,22,22,40.84138611,-73.82581667,3,1,0,1,22,22,99,99,99,99,NEW YORK CITY,New York,Dark,Clear,FALSE
19317,19318,36,360220,3,57,170,3,5,2015,1,0,35,42.93725833,-74.17780556,2,10,0,1,0,35,0,45,1,18,AMSTERDAM,New York,Dark,Unknown,FALSE
19318,19319,36,360221,1,59,4600,13,4,2015,2,12,20,40.7817,-73.55921944,1,1,0,1,99,99,99,99,99,99,OYSTER BAY,New York,Daylight,Clear,FALSE
19319,19320,36,360222,1,59,2160,3,5,2015,1,22,47,40.653775,-73.56909167,3,1,0,1,23,3,23,5,23,35,FREEPORT,New York,Dark,Clear,FALSE
19320,19321,36,360223,3,59,4600,5,5,2015,3,4,45,40.67590278,-73.47465278,3,1,1,1,99,99,99,99,99,99,OYSTER BAY,New York,Dark,Clear,TRUE
19321,19322,36,360224,4,47,4170,4,5,2015,2,19,7,40.64231111,-73.89916944,1,1,0,1,19,7,99,99,99,99,NEW YORK CITY,New York,Daylight,Clear,FALSE
19322,19323,36,360225,1,79,4682,5,5,2015,3,11,45,41.46886667,-73.6405,1,1,1,1,11,45,11,49,12,15,PATTERSON,New York,Daylight,Clear,TRUE
19323,19324,36,360226,2,11,3839,6,5,2015,4,11,4,42.96302222,-76.73388889,1,1,0,1,11,5,11,20,11,52,MONTEZUMA,New York,Daylight,Clear,FALSE
19324,19325,36,360227,1,103,145,14,3,2015,7,2,32,40.98020278,-72.15077778,2,10,1,1,2,32,2,35,88,88,AMAGANSETT,New York,Dark,Unknown,TRUE
19325,19326,36,360228,1,55,3681,2,5,2015,7,16,40,42.96914444,-77.50269722,1,1,0,1,16,45,16,48,88,88,MENDON,New York,Daylight,Clear,FALSE
19326,19327,36,360229,6,55,1930,29,4,2015,4,17,50,43.0436,-77.46506667,1,1,0,1,17,50,17,58,18,37,FAIRPORT,New York,Daylight,Clear,FALSE
19327,19328,36,360230,4,93,5315,15,4,2015,4,19,28,42.82152778,-74.07054444,5,1,0,1,19,19,19,27,19,50,ROTTERDAM,New York,Dusk,Clear,FALSE
19328,19329,36,360231,1,61,4170,6,5,2015,4,15,12,40.82468056,-73.93695,1,10,0,1,15,12,99,99,99,99,NEW YORK CITY,New York,Daylight,Unknown,FALSE
19329,19330,36,360232,2,101,1250,8,5,2015,6,19,35,42.51051944,-77.51676111,1,1,0,1,19,35,19,45,88,88,COHOCTON,New York,Daylight,Clear,FALSE
19330,19331,36,360233,1,47,4170,10,5,2015,1,1,23,40.66051667,-73.99805278,3,5,0,1,1,23,99,99,99,99,NEW YORK CITY,New York,Dark,Snow,FALSE
19331,19332,36,360234,1,81,4170,11,5,2015,2,22,42,40.68784722,-73.82536111,3,1,0,1,99,99,99,99,99,99,NEW YORK CITY,New York,Dark,Clear,FALSE
19332,19333,36,360235,1,49,2452,6,5,2015,4,21,26,43.69888056,-75.36715556,2,1,1,1,22,26,22,32,23,7,GREIG,New York,Dark,Clear,TRUE
19333,19334,36,360236,1,63,3340,11,5,2015,2,8,35,43.16456944,-78.68733889,1,1,0,1,8,38,8,45,99,99,LOCKPORT,New York,Daylight,Clear,FALSE
19334,19335,36,360237,1,55,652,9,5,2015,7,11,52,43.14043056,-77.54140278,1,1,0,1,11,56,12,5,88,88,BRIGHTON,New York,Daylight,Clear,FALSE
19335,19336,36,360238,1,101,4620,11,5,2015,2,19,51,99.9999,999.9999,1,1,1,1,19,53,19,59,99,99,PAINTED POST,New York,Daylight,Clear,TRUE
19336,19337,36,360239,1,7,540,13,5,2015,4,8,35,42.13126944,-75.90586944,1,10,0,1,8,35,8,40,8,55,BINGHAMTON,New York,Daylight,Unknown,FALSE
19337,19338,36,360240,2,5,4170,12,5,2015,3,12,22,40.84721389,-73.91269444,1,1,0,1,99,99,99,99,99,99,NEW YORK CITY,New York,Daylight,Clear,FALSE
19338,19339,36,360241,1,121,6810,15,4,2015,4,16,13,42.81648333,-78.09886667,1,10,0,1,16,12,16,17,88,88,WYOMING,New York,Daylight,Unknown,FALSE
19339,19340,36,360242,3,103,4670,3,4,2015,6,11,38,40.76565278,-73.01511944,1,3,0,1,99,99,99,99,99,99,PATCHOGUE,New York,Daylight,Rain,FALSE
19340,19341,36,360243,1,103,1337,20,4,2015,2,20,21,40.87296389,-72.98595,3,3,0,1,99,99,99,99,99,99,CORAM,New York,Dark,Rain,FALSE
19341,19342,36,360244,1,11,6520,13,5,2015,4,9,1,43.05571389,-76.55339722,1,1,0,1,8,57,9,7,9,32,WEEDSPORT,New York,Daylight,Clear,FALSE
19342,19343,36,360245,3,103,705,21,4,2015,3,20,3,40.81596667,-73.025075,3,1,0,1,20,7,20,15,20,38,BROOKHAVEN,New York,Dark,Clear,FALSE
19343,19344,36,360246,1,103,2840,1,4,2015,4,22,35,99.9999,999.9999,3,1,0,1,99,99,99,99,88,88,HUNTINGTON,New York,Dark,Clear,FALSE
19344,19345,36,360247,3,71,6163,30,4,2015,5,17,45,41.19034722,-74.18136944,1,1,0,1,17,45,18,0,19,0,TUXEDO PARK,New York,Daylight,Clear,FALSE
19345,19346,36,360248,8,111,6491,3,5,2015,1,10,22,41.70163611,-74.40961389,1,1,0,3,10,22,10,30,99,99,WAWARSING,New York,Daylight,Clear,FALSE
19346,19347,36,360249,1,111,4875,10,5,2015,1,9,45,41.63736111,-74.1364,1,1,0,1,9,51,10,15,10,54,PLATTEKILL,New York,Daylight,Clear,FALSE
19347,19348,36,360250,3,67,6010,7,3,2015,7,4,55,43.06660833,-76.16475556,3,1,0,1,5,2,5,7,5,24,SYRACUSE,New York,Dark,Clear,FALSE
19348,19349,36,360251,5,91,1209,11,5,2015,2,8,36,42.89545278,-73.78127222,1,1,0,1,8,36,8,45,88,88,CLIFTON PARK,New York,Daylight,Clear,FALSE
19349,19350,36,360252,5,21,2265,11,5,2015,2,15,7,42.15741389,-73.87253889,1,1,0,1,15,7,15,21,88,88,GERMANTOWN,New York,Daylight,Clear,FALSE
19350,19351,36,360253,4,61,4170,9,5,2015,7,14,45,40.76424167,-73.97098333,1,10,0,1,14,45,99,99,99,99,NEW YORK CITY,New York,Daylight,Unknown,FALSE
19351,19352,36,360254,1,63,4210,28,1,2015,4,18,29,43.09216389,-78.96174444,3,1,0,1,18,32,18,34,19,7,NIAGARA FALLS,New York,Dark,Clear,FALSE
19352,19353,36,360255,3,47,4170,1,5,2015,6,17,0,40.65829167,-73.88936389,1,1,0,1,99,99,99,99,99,99,NEW YORK CITY,New York,Daylight,Clear,FALSE
19353,19354,36,360256,3,117,6760,6,5,2015,4,18,45,43.18103889,-76.82100833,1,1,0,1,18,48,18,56,20,24,WOLCOTT,New York,Daylight,Clear,FALSE
19354,19355,36,360257,4,111,2680,4,5,2015,2,14,11,41.74210833,-73.96420833,1,1,0,1,14,15,14,20,14,50,HIGHLAND,New York,Daylight,Clear,FALSE
19355,19356,36,360258,1,5,4170,13,5,2015,4,9,33,40.82715,-73.87012778,1,1,0,1,99,99,99,99,99,99,NEW YORK CITY,New York,Daylight,Clear,FALSE
19356,19357,36,360259,1,81,4170,16,4,2015,5,12,58,40.67350556,-73.80738889,1,1,0,1,99,99,99,99,99,99,NEW YORK CITY,New York,Daylight,Clear,FALSE
19357,19358,36,360260,2,45,1900,15,4,2015,4,14,55,44.08256944,-75.80341111,1,1,0,1,14,50,14,55,88,88,EVANS MILLS,New York,Daylight,Clear,FALSE
19358,19359,36,360261,5,87,4063,14,5,2015,5,14,27,99.9999,999.9999,1,1,0,1,14,30,14,32,15,0,NEW CITY,New York,Daylight,Clear,FALSE
19359,19360,36,360262,2,105,1242,16,5,2015,7,16,0,41.71096389,-75.04825,1,10,0,2,16,9,16,24,99,99,COCHECTON,New York,Daylight,Unknown,FALSE
19360,19361,36,360263,3,39,970,14,1,2015,4,9,15,42.26255,-73.935575,1,1,0,1,9,15,9,20,10,2,CATSKILL,New York,Daylight,Clear,FALSE
19361,19362,36,360264,2,55,6510,16,5,2015,7,6,50,43.24970833,-77.48564722,4,10,1,2,6,54,7,0,88,88,WEBSTER,New York,Dawn,Unknown,TRUE
19362,19363,36,360265,1,59,5300,15,5,2015,6,6,5,40.79833333,-73.66394167,4,1,0,1,6,7,6,11,88,88,ROSLYN ESTATES,New York,Dawn,Clear,FALSE
19363,19364,36,360266,3,1,2464,22,5,2015,6,12,36,42.68019444,-73.84060833,1,1,0,1,12,36,12,40,88,88,GUILDERLAND,New York,Daylight,Clear,FALSE
19364,19365,36,360267,2,1,1290,22,1,2015,5,14,57,42.70018611,-73.74209444,1,10,0,1,14,57,15,4,15,35,COLONIE,New York,Daylight,Unknown,FALSE
19365,19366,36,360268,3,61,4170,15,5,2015,6,21,49,40.76081667,-73.99830278,3,1,0,1,21,49,99,99,99,99,NEW YORK CITY,New York,Dark,Clear,FALSE
19366,19367,36,360269,1,61,4170,20,5,2015,4,15,4,40.80456667,-73.96268611,1,1,0,1,99,99,99,99,88,88,NEW YORK CITY,New York,Daylight,Clear,FALSE
19367,19368,36,360270,3,85,4170,10,5,2015,1,22,50,40.54638889,-74.14135833,3,1,0,1,22,50,22,55,23,1,NEW YORK CITY,New York,Dark,Clear,FALSE
19368,19369,36,360271,2,47,4170,21,5,2015,5,11,32,40.59350833,-73.99678333,1,10,0,1,99,99,99,99,88,88,NEW YORK CITY,New York,Daylight,Unknown,FALSE
19369,19370,36,360272,1,47,4170,22,5,2015,6,20,20,40.64531944,-73.90203333,3,10,0,1,20,20,99,99,99,99,NEW YORK CITY,New York,Dark,Unknown,FALSE
19370,19371,36,360273,2,1,1290,11,4,2015,7,4,13,99.9999,999.9999,2,1,1,2,4,30,8,1,11,0,COLONIE,New York,Dark,Clear,TRUE
19371,19372,36,360274,1,59,3215,23,5,2015,7,16,52,40.72493611,-73.52222222,1,1,0,1,16,54,16,58,17,16,LEVITTOWN,New York,Daylight,Clear,FALSE
19372,19373,36,360275,3,61,4170,24,5,2015,1,5,40,40.79776389,-73.92914167,4,1,1,1,99,99,99,99,99,99,NEW YORK CITY,New York,Dawn,Clear,TRUE
19373,19374,36,360276,1,119,6825,11,5,2015,2,5,39,41.228325,-73.80743889,4,1,0,1,5,50,6,15,88,88,YORKTOWN HGTS,New York,Dawn,Clear,FALSE
19374,19375,36,360277,5,39,970,23,5,2015,7,8,19,42.25747222,-73.88171944,1,1,0,1,8,19,8,26,99,99,CATSKILL,New York,Daylight,Clear,FALSE
19375,19376,36,360278,2,29,750,23,5,2015,7,17,58,42.88846944,-78.88818333,1,10,1,1,18,3,18,11,18,30,BUFFALO,New York,Daylight,Unknown,TRUE
19376,19377,36,360279,4,25,5700,20,5,2015,4,6,30,42.30874722,-75.37013333,4,10,0,1,6,43,6,50,7,47,SIDNEY,New York,Dawn,Unknown,FALSE
19377,19378,36,360280,3,47,4170,25,5,2015,2,1,15,40.65229722,-73.86629444,3,1,1,1,99,99,99,99,99,99,NEW YORK CITY,New York,Dark,Clear,TRUE
19378,19379,36,360281,1,103,5210,23,5,2015,7,20,45,40.90908889,-72.68528611,1,1,0,1,99,99,99,99,88,88,RIVERHEAD,New York,Daylight,Clear,FALSE
19379,19380,36,360282,1,61,4170,25,5,2015,2,16,58,40.67454444,-73.78936389,1,1,0,1,99,99,99,99,99,99,NEW YORK CITY,New York,Daylight,Clear,FALSE
