S_No,State,ST_CASE,PERMVIT,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD,LGT_COND,WEATHER,DRUNK_DR,FATALS,Cname,Sname
12859,21,210322,6,111,2090,10,7,2015,6,23,13,38.11452222,-85.74788056,3,1,0,1,LOUISVILLE,Kentucky
12860,21,210323,1,15,1150,14,7,2015,3,0,7,38.99048333,-84.63722222,3,2,0,1,FLORENCE,Kentucky
12862,21,210325,2,131,3215,16,7,2015,5,9,59,37.118375,-83.37931389,1,1,0,1,STINNETT,Kentucky
12867,21,210330,4,103,517,19,7,2015,1,19,48,38.524975,-85.21708333,1,1,0,1,CAMPBELLSBURG,Kentucky
12868,21,210331,2,67,1980,19,7,2015,1,23,10,38.156325,-84.43345556,2,1,0,1,LEXINGTON,Kentucky
12869,21,210332,2,29,2335,19,7,2015,1,13,36,38.02617778,-85.61369167,1,1,0,1,MOUNT WASHINGTON,Kentucky
12878,21,210341,1,93,3320,24,7,2015,6,15,15,37.46410278,-85.90071944,1,1,0,1,UPTON,Kentucky
12880,21,210343,2,3,2910,25,7,2015,7,3,38,36.74410833,-86.21657778,2,5,1,1,SCOTTSVILLE,Kentucky
12884,21,210347,1,95,630,27,7,2015,2,16,18,36.78683333,-83.23358889,1,1,1,1,CAWOOD,Kentucky
12888,21,210351,4,67,1980,29,7,2015,4,14,10,38.08243333,-84.40511111,1,1,0,2,LEXINGTON,Kentucky
12890,21,210353,2,111,2090,31,7,2015,6,4,41,38.183875,-85.85533333,2,1,1,1,LOUISVILLE,Kentucky
12892,21,210355,3,5,1900,11,7,2015,7,13,9,38.03943333,-84.88915556,1,1,0,1,LAWRENCEBURG,Kentucky
12893,21,210356,1,235,770,23,7,2015,5,20,28,36.96028056,-84.12511389,1,1,1,1,CORBIN,Kentucky
12895,21,210358,3,111,2090,27,7,2015,2,15,32,38.077175,-85.55208611,1,10,0,1,LOUISVILLE,Kentucky
12896,21,210359,1,71,2670,29,7,2015,4,6,2,37.66541111,-82.78285556,3,1,1,1,PRESTONSBURG,Kentucky
12898,21,210361,3,155,1910,28,7,2015,3,7,47,37.55851667,-85.27412778,1,1,0,1,LEBANON,Kentucky
12904,21,210367,1,111,2090,2,8,2015,1,3,10,38.08336389,-85.87585,2,1,1,1,LOUISVILLE,Kentucky
12907,21,210370,2,93,1000,3,8,2015,2,15,0,37.73225833,-85.85053056,1,1,0,1,ELIZABETHTOWN,Kentucky
12910,21,210373,2,115,2530,4,8,2015,3,11,31,37.82519167,-82.83706111,1,1,0,1,PAINTSVILLE,Kentucky
12914,21,210377,1,111,2090,9,8,2015,1,3,45,38.16226389,-85.70008889,2,1,1,1,LOUISVILLE,Kentucky
12915,21,210378,1,117,3239,9,8,2015,1,14,9,39.00803333,-84.481125,1,1,0,1,TAYLOR MILL,Kentucky
12916,21,210379,1,49,3610,9,8,2015,1,16,6,38.00336111,-84.16780556,1,1,1,1,WINCHESTER,Kentucky
12917,21,210380,2,111,2090,9,8,2015,1,1,38,38.24363056,-85.77400278,3,1,1,1,LOUISVILLE,Kentucky
12918,21,210381,1,71,2691,11,8,2015,3,7,26,37.53209722,-82.74570556,4,10,0,1,PRINTER,Kentucky
12923,21,210386,8,145,2520,14,8,2015,6,0,18,37.05773889,-88.65498333,3,1,0,1,PADUCAH,Kentucky
12925,21,210388,2,111,2090,14,8,2015,6,23,37,38.26064722,-85.80438333,3,1,1,1,LOUISVILLE,Kentucky
12926,21,210389,3,111,2090,13,8,2015,5,8,44,38.15698056,-85.70415556,1,1,0,1,LOUISVILLE,Kentucky
12928,21,210391,2,13,2220,15,8,2015,7,11,9,36.58333333,-83.75,1,10,0,1,MIDDLESBORO,Kentucky
12940,21,210403,2,143,970,24,8,2015,2,5,0,37.06913333,-88.07844444,3,1,0,1,EDDYVILLE,Kentucky
12941,21,210404,1,67,1980,25,8,2015,3,2,39,38.05035556,-84.50896667,3,1,1,1,LEXINGTON,Kentucky
12946,21,210409,1,67,1980,27,8,2015,5,23,28,38.09001111,-84.432925,2,1,1,1,LEXINGTON,Kentucky
12948,21,210411,1,67,1980,28,8,2015,6,15,9,38.07754444,-84.49405556,1,1,1,1,LEXINGTON,Kentucky
12951,21,210414,1,93,3080,29,8,2015,7,5,50,37.53499444,-85.90653611,3,1,1,1,SONORA,Kentucky
12952,21,210415,2,93,2724,29,8,2015,7,15,57,37.82091111,-85.92586944,1,1,0,1,RADCLIFF,Kentucky
12953,21,210416,1,111,2090,30,8,2015,1,13,55,38.15715556,-85.71791667,1,1,1,1,LOUISVILLE,Kentucky
12954,21,210417,5,111,2090,30,8,2015,1,17,7,38.00574722,-85.93758056,1,10,0,1,LOUISVILLE,Kentucky
12956,21,210419,3,59,2490,31,8,2015,2,12,30,37.77244444,-87.11565278,1,10,0,1,OWENSBORO,Kentucky
12958,21,210421,3,111,2090,31,8,2015,2,12,54,38.06228611,-85.88651111,1,1,0,1,LOUISVILLE,Kentucky
12959,21,210422,1,75,1270,29,8,2015,7,2,58,36.51498889,-88.89866111,2,1,1,1,FULTON,Kentucky
12960,21,210423,1,111,2090,26,8,2015,4,12,6,38.15236667,-85.78758889,1,1,1,1,LOUISVILLE,Kentucky
12964,21,210427,1,71,2215,21,8,2015,6,16,48,37.35453333,-82.69906667,1,1,0,1,MELVIN,Kentucky
12970,21,210433,4,117,1190,1,9,2015,3,14,50,39.04231667,-84.53938056,1,1,0,4,FORT WRIGHT,Kentucky
12974,21,210437,1,111,2090,6,9,2015,1,3,13,38.110875,-85.86945556,3,1,0,1,LOUISVILLE,Kentucky
12975,21,210438,1,111,2855,5,9,2015,7,14,44,38.24295,-85.62203611,1,1,0,1,ST. MATTHEWS,Kentucky
12977,21,210440,7,113,2410,6,9,2015,1,12,51,37.91272222,-84.55893333,1,1,0,4,NICHOLASVILLE,Kentucky
12978,21,210441,2,111,2090,6,9,2015,1,15,39,38.18696944,-85.50875,1,1,0,1,LOUISVILLE,Kentucky
12980,21,210443,1,71,1716,7,9,2015,2,22,28,37.60341944,-82.69353056,2,1,1,1,IVEL,Kentucky
12983,21,210446,1,93,3370,9,9,2015,4,1,10,37.85075,-86.01995278,2,1,1,1,VINE GROVE,Kentucky
12984,21,210447,2,71,1426,10,9,2015,5,11,30,37.53018611,-82.62146944,1,1,0,1,HAROLD,Kentucky
12985,21,210448,4,221,490,10,9,2015,5,15,30,36.8676,-87.78801667,1,1,0,1,CADIZ,Kentucky
12988,21,210451,4,67,1980,14,9,2015,2,13,29,37.99531111,-84.43940278,1,1,0,1,LEXINGTON,Kentucky
12991,21,210454,1,111,2090,19,9,2015,7,7,38,38.30490556,-85.54298333,4,1,1,1,LOUISVILLE,Kentucky
12992,21,210455,1,111,2090,15,9,2015,3,17,23,38.18947778,-85.74202778,1,1,0,1,LOUISVILLE,Kentucky
12996,21,210459,1,151,270,18,9,2015,6,23,45,37.57086944,-84.28357778,3,1,0,1,BEREA,Kentucky
12997,21,210460,2,157,511,18,9,2015,6,18,24,37.00380278,-88.28668056,1,1,0,1,CALVERT CITY,Kentucky
13015,21,210478,3,111,2090,18,9,2015,6,10,20,38.15780278,-85.691075,1,1,0,1,LOUISVILLE,Kentucky
13028,21,210491,1,67,1980,1,10,2015,5,22,42,38.04025556,-84.51683889,2,10,0,1,LEXINGTON,Kentucky
13034,21,210497,1,51,2160,4,10,2015,1,17,7,37.06540833,-83.74101667,1,1,1,1,MANCHESTER,Kentucky
13036,21,210499,1,151,2750,5,10,2015,2,14,52,37.73168611,-84.27322778,1,1,0,1,RICHMOND,Kentucky
13038,21,210501,3,51,2160,4,10,2015,1,21,59,37.13775278,-83.77581944,2,1,0,1,MANCHESTER,Kentucky
13039,21,210502,3,111,2090,7,10,2015,4,1,38,38.11984722,-85.80478056,2,1,0,1,LOUISVILLE,Kentucky
13040,21,210503,3,111,2090,7,10,2015,4,20,19,38.25036667,-85.82205833,3,1,0,1,LOUISVILLE,Kentucky
13042,21,210505,1,147,2648,9,10,2015,6,4,17,36.65751667,-84.43765833,2,1,1,1,PINE KNOT,Kentucky
13044,21,210507,4,67,1980,9,10,2015,6,8,15,38.01503056,-84.44166111,1,1,0,1,LEXINGTON,Kentucky
13045,21,210508,2,21,860,9,10,2015,6,13,56,37.61217778,-84.774375,1,2,0,1,DANVILLE,Kentucky
13046,21,210509,1,121,160,9,10,2015,6,19,8,36.85198333,-83.860525,5,2,0,1,BARBOURVILLE,Kentucky
13047,21,210510,1,111,2090,9,10,2015,6,20,52,38.16791944,-85.60356389,2,1,0,1,LOUISVILLE,Kentucky
13054,21,210517,2,43,1330,12,10,2015,2,18,30,38.32818333,-82.90803056,1,1,0,1,GRAYSON,Kentucky
13055,21,210518,1,111,2090,13,10,2015,3,3,12,38.23768056,-85.66455556,6,10,1,1,LOUISVILLE,Kentucky
13056,21,210519,4,193,155,15,10,2015,5,3,23,37.25670833,-83.25540278,6,1,1,1,AVAWAM,Kentucky
13057,21,210520,3,111,2090,15,10,2015,5,17,23,38.17008056,-85.82722778,1,1,1,1,LOUISVILLE,Kentucky
13060,21,210523,1,37,50,5,10,2015,2,2,5,38.98163333,-84.395775,2,1,1,1,ALEXANDRIA,Kentucky
13061,21,210524,1,179,170,9,10,2015,6,19,38,37.83221944,-85.4784,3,1,0,1,BARDSTOWN,Kentucky
13064,21,210527,6,113,2410,18,10,2015,1,18,17,37.92899444,-84.54963333,1,1,0,2,NICHOLASVILLE,Kentucky
13065,21,210528,1,147,2734,18,10,2015,1,21,10,36.68330278,-84.469575,2,1,0,1,REVELO,Kentucky
13066,21,210529,1,113,2410,19,10,2015,2,4,52,37.94668333,-84.54377778,2,1,0,1,NICHOLASVILLE,Kentucky
13067,21,210530,1,101,1510,20,10,2015,3,6,30,37.81833611,-87.56271389,4,1,1,1,HENDERSON,Kentucky
13072,21,210535,2,59,2490,23,10,2015,6,16,25,37.7606,-87.09807222,1,10,0,1,OWENSBORO,Kentucky
13073,21,210536,2,115,2530,23,10,2015,6,19,14,37.802875,-82.79895833,2,10,0,1,PAINTSVILLE,Kentucky
13078,21,210541,2,67,1980,25,10,2015,1,21,15,38.06778056,-84.34363333,2,10,0,1,LEXINGTON,Kentucky
13081,21,210544,2,115,2530,26,10,2015,2,14,18,37.775325,-82.80479444,1,10,1,1,PAINTSVILLE,Kentucky
13082,21,210545,3,211,2980,28,10,2015,4,13,22,38.18445556,-85.1968,1,10,0,1,SHELBYVILLE,Kentucky
13083,21,210546,2,71,1426,28,10,2015,4,19,20,37.53035278,-82.64693611,2,1,2,1,HAROLD,Kentucky
13090,21,210553,2,209,1280,22,10,2015,5,21,50,38.246025,-84.52725556,3,10,0,1,GEORGETOWN,Kentucky
13092,21,210555,3,199,3070,29,10,2015,5,6,58,37.08818889,-84.65535,4,10,0,1,SOMERSET,Kentucky
13093,21,210556,2,111,2090,28,10,2015,4,21,3,38.23285,-85.79956667,3,10,0,1,LOUISVILLE,Kentucky
13096,21,210559,1,89,3135,15,10,2015,5,23,31,38.7318,-82.91760278,2,10,0,1,SOUTH SHORE,Kentucky
13098,21,210561,1,151,2750,9,10,2015,6,17,2,37.74443056,-84.25951389,1,2,0,1,RICHMOND,Kentucky
13100,21,210563,2,153,2870,17,9,2015,5,10,5,37.62820556,-82.94586111,1,1,0,1,SALYERSVILLE,Kentucky
13101,21,210564,1,9,1310,4,10,2015,1,12,29,37.0341,-85.90878056,1,1,0,1,GLASGOW,Kentucky
13105,21,210568,5,151,2750,3,11,2015,3,7,26,37.73206667,-84.29303333,1,1,0,1,RICHMOND,Kentucky
13107,21,210570,1,145,2520,4,11,2015,4,14,18,37.05845,-88.57830833,1,10,0,1,PADUCAH,Kentucky
13108,21,210571,1,67,1980,4,11,2015,4,18,37,38.09914722,-84.41922778,2,10,1,1,LEXINGTON,Kentucky
13109,21,210572,5,177,1318,3,11,2015,3,14,35,37.2283,-87.27239167,1,1,0,1,GRAHAM,Kentucky
13111,21,210574,8,195,1010,5,11,2015,5,15,0,37.27982778,-82.37325278,1,1,0,1,ELKHORN CITY,Kentucky
13112,21,210575,1,111,2090,5,11,2015,5,19,32,38.13429444,-85.87368611,2,10,0,1,LOUISVILLE,Kentucky
13113,21,210576,5,111,2090,5,11,2015,5,12,39,38.05226944,-85.89383889,1,1,0,1,LOUISVILLE,Kentucky
13114,21,210577,2,81,940,1,11,2015,1,3,7,38.67941944,-84.60209167,2,1,0,1,DRY RIDGE,Kentucky
13115,21,210578,2,121,1128,9,11,2015,2,5,24,36.84266111,-83.78340556,2,2,0,1,FLAT LICK,Kentucky
13116,21,210579,1,111,2090,9,11,2015,2,18,31,38.17559444,-85.76491389,3,2,0,1,LOUISVILLE,Kentucky
13117,21,210580,3,111,2090,7,11,2015,7,22,15,38.09906944,-85.87193333,3,1,1,1,LOUISVILLE,Kentucky
13118,21,210581,8,199,3070,7,11,2015,7,20,7,37.08359167,-84.66490278,2,1,0,1,SOMERSET,Kentucky
13119,21,210582,1,113,2410,5,11,2015,5,19,9,37.88029167,-84.57265,2,1,0,1,NICHOLASVILLE,Kentucky
13121,21,210584,1,115,2530,10,11,2015,3,15,22,37.81613056,-82.80607778,1,10,0,1,PAINTSVILLE,Kentucky
13124,21,210587,5,111,2090,13,11,2015,6,17,38,38.27551111,-85.50065833,1,10,0,1,LOUISVILLE,Kentucky
13126,21,210589,1,195,3929,9,11,2015,2,19,8,37.572325,-82.43288333,2,2,0,1,ZEBULON,Kentucky
13128,21,210591,5,15,1150,14,11,2015,7,13,28,39.00466667,-84.64624167,1,1,0,1,FLORENCE,Kentucky
13131,21,210594,2,111,2090,15,11,2015,1,13,15,38.18728611,-85.54798333,1,1,0,1,LOUISVILLE,Kentucky
13133,21,210596,4,111,2694,18,11,2015,4,14,23,38.33018889,-85.62294722,1,2,1,1,PROSPECT,Kentucky
13134,21,210597,1,111,2090,13,11,2015,6,14,31,38.12706389,-85.50129722,1,1,0,1,LOUISVILLE,Kentucky
13138,21,210601,3,225,2280,26,11,2015,5,18,10,37.67997778,-87.89503611,6,1,0,1,MORGANFIELD,Kentucky
13139,21,210602,2,151,2750,27,11,2015,6,12,26,37.75224167,-84.26785556,1,10,0,1,RICHMOND,Kentucky
13142,21,210605,4,111,2090,25,11,2015,4,3,1,38.138775,-85.88758333,2,10,1,1,LOUISVILLE,Kentucky
13144,21,210607,3,111,2090,22,11,2015,1,10,48,38.08248056,-85.88163611,1,1,0,1,LOUISVILLE,Kentucky
13146,21,210609,1,29,2990,27,11,2015,6,4,41,37.98573056,-85.70112222,3,1,1,1,SHEPHERDSVILLE,Kentucky
13153,21,210616,1,195,2637,17,11,2015,3,21,27,37.44633889,-82.26231389,2,10,1,1,PHYLLIS,Kentucky
13154,21,210617,2,133,3530,25,8,2015,3,5,57,37.11818056,-82.83585278,2,1,0,1,WHITESBURG,Kentucky
13155,21,210618,2,71,271,19,9,2015,7,22,23,37.34288333,-82.74331944,6,10,0,1,BEVINSVILLE,Kentucky
13161,21,210624,4,173,1741,20,11,2015,6,7,2,37.97633056,-83.85099722,1,1,0,1,JEFFERSONVILLE,Kentucky
13165,21,210628,3,67,1980,2,12,2015,4,10,58,38.04284722,-84.61636667,1,10,0,2,LEXINGTON,Kentucky
13166,21,210629,1,13,1219,4,12,2015,6,16,44,36.63815,-83.94225,1,10,1,1,FRAKES,Kentucky
13167,21,210630,2,111,2090,6,12,2015,1,3,44,38.26600278,-85.78982222,2,1,1,1,LOUISVILLE,Kentucky
13168,21,210631,3,111,2090,6,12,2015,1,4,29,38.23318611,-85.45624722,2,1,1,1,LOUISVILLE,Kentucky
13169,21,210632,5,85,1940,8,12,2015,3,17,15,37.49566111,-86.27651389,2,1,0,1,LEITCHFIELD,Kentucky
13170,21,210633,2,29,1920,1,12,2015,3,17,0,37.82918889,-85.72661389,1,1,0,1,LEBANON JUNCTION,Kentucky
13173,21,210636,2,117,800,11,12,2015,6,8,25,39.09055278,-84.52263333,1,10,1,1,COVINGTON,Kentucky
13174,21,210637,1,199,3070,11,12,2015,6,19,13,37.06560833,-84.64815,2,1,0,1,SOMERSET,Kentucky
13177,21,210640,2,111,2090,13,12,2015,1,2,18,38.14526667,-85.61558611,2,10,1,1,LOUISVILLE,Kentucky
13178,21,210641,1,101,1510,13,12,2015,1,3,0,37.80526944,-87.56409444,2,1,1,1,HENDERSON,Kentucky
13179,21,210642,2,111,2090,13,12,2015,1,14,7,38.18546111,-85.85358889,1,1,0,1,LOUISVILLE,Kentucky
13182,21,210645,3,213,1230,13,12,2015,1,13,22,36.65733056,-86.55371667,1,10,0,2,FRANKLIN,Kentucky
13183,21,210646,2,111,2090,17,12,2015,5,19,50,38.18654444,-85.63808333,2,1,0,1,LOUISVILLE,Kentucky
13184,21,210647,2,59,2490,4,12,2015,6,13,44,37.773575,-87.15219167,1,1,0,1,OWENSBORO,Kentucky
13185,21,210648,1,111,2090,18,12,2015,6,1,44,38.11078889,-85.62679722,2,10,1,1,LOUISVILLE,Kentucky
13190,21,210653,2,151,2750,17,12,2015,5,3,15,37.73643889,-84.30776944,2,2,0,1,RICHMOND,Kentucky
13193,21,210656,2,121,3395,23,12,2015,4,0,25,36.90066944,-83.67751389,2,10,1,1,WALKER,Kentucky
13194,21,210657,3,9,1310,23,12,2015,4,17,9,36.99064167,-85.94522222,2,2,0,1,GLASGOW,Kentucky
13196,21,210659,3,67,1980,23,12,2015,4,22,28,38.04128611,-84.42489167,3,2,0,1,LEXINGTON,Kentucky
13197,21,210660,1,111,2225,24,12,2015,5,6,6,38.25880833,-85.52135278,3,1,0,1,MIDDLETOWN,Kentucky
13201,21,210664,2,67,1980,26,12,2015,7,20,14,38.1485,-84.54135,3,10,1,1,LEXINGTON,Kentucky
13202,21,210665,3,93,2724,18,12,2015,6,23,5,37.84533056,-85.96343056,3,1,1,1,RADCLIFF,Kentucky
13204,21,210667,1,117,800,28,12,2015,2,17,50,39.08653611,-84.51791944,3,2,0,1,COVINGTON,Kentucky
13205,21,210668,2,107,2150,15,12,2015,3,15,0,37.32921667,-87.49005833,1,1,0,1,MADISONVILLE,Kentucky
13211,21,210674,5,111,2090,29,12,2015,3,18,33,38.15061111,-85.83693611,3,10,0,1,LOUISVILLE,Kentucky
13212,21,210675,2,155,1910,24,12,2015,5,17,18,37.59102778,-85.25109167,5,10,0,1,LEBANON,Kentucky
13213,21,210676,1,27,847,26,12,2015,7,16,14,37.71358889,-86.22652778,1,10,1,1,CUSTER,Kentucky
13215,21,210678,2,235,3580,19,12,2015,7,3,25,36.725275,-84.16215833,3,1,1,2,WILLIAMSBURG,Kentucky
13216,21,210679,3,117,1660,31,12,2015,5,21,59,38.95959167,-84.53394444,2,1,1,2,INDEPENDENCE,Kentucky
13217,21,210680,2,227,350,15,12,2015,3,7,12,37.00475,-86.45485833,1,1,0,1,BOWLING GREEN,Kentucky
13218,21,210681,2,121,414,13,10,2015,3,13,35,36.80371389,-83.94170833,1,1,0,1,BRYANTS STORE,Kentucky
13225,21,210688,3,209,1280,4,12,2015,6,13,29,38.250425,-84.55006389,1,1,0,1,GEORGETOWN,Kentucky
13228,21,210691,2,125,2040,24,11,2015,3,8,33,37.14416944,-84.09027222,1,1,0,1,LONDON,Kentucky
13229,21,210692,3,95,1420,28,11,2015,7,19,47,36.81054722,-83.31244167,3,10,0,1,HARLAN,Kentucky
13230,21,210693,1,117,1050,8,11,2015,1,15,8,39.02723056,-84.61088056,1,1,0,1,ERLANGER,Kentucky
13231,21,210694,2,111,2090,4,12,2015,6,10,5,38.217475,-85.50601389,1,1,0,1,LOUISVILLE,Kentucky
13234,22,220002,3,105,982,18,1,2015,1,22,20,30.47881944,-90.39828889,2,1,1,1,HAMMOND EAST,Louisiana
13235,22,220003,1,19,1250,19,1,2015,2,16,37,30.23638056,-93.19128889,1,1,1,1,LAKE CHARLES,Louisiana
13238,22,220007,2,19,1250,22,1,2015,5,19,8,30.25098056,-93.18048889,3,2,1,1,LAKE CHARLES,Louisiana
13239,22,220008,2,19,1250,18,1,2015,1,23,24,30.24588333,-93.2827,3,1,1,1,LAKE CHARLES,Louisiana
13242,22,220012,1,101,190,1,1,2015,5,2,20,29.69305,-91.22076944,2,1,0,1,BERWICK,Louisiana
13245,22,220015,1,17,2130,2,1,2015,6,4,47,32.49008889,-93.70223889,3,2,1,1,SHREVEPORT,Louisiana
13246,22,220016,3,71,1690,2,1,2015,6,19,58,30.03238056,-90.07033056,3,2,0,2,NEW ORLEANS,Louisiana
13247,22,220017,1,33,150,3,1,2015,7,3,12,30.4591,-91.16641111,7,8,1,1,BATON ROUGE,Louisiana
13250,22,220020,5,51,1190,4,1,2015,1,11,48,30.00745,-90.26993056,1,1,0,1,KENNER,Louisiana
13251,22,220021,2,33,150,6,1,2015,3,13,0,30.4648,-91.0201,1,10,0,1,BATON ROUGE,Louisiana
13252,22,220022,4,19,1250,7,1,2015,4,5,50,30.2371,-93.29726111,2,10,0,1,LAKE CHARLES,Louisiana
13253,22,220023,2,33,100,8,1,2015,5,16,10,30.59016944,-91.12333889,1,1,1,1,BAKER,Louisiana
13254,22,220024,2,55,1230,8,1,2015,5,19,30,30.17445,-92.06256111,3,10,1,1,LAFAYETTE,Louisiana
13255,22,220025,1,121,1920,9,1,2015,6,14,6,30.52843056,-91.36453889,1,2,1,1,PORT ALLEN,Louisiana
13256,22,220026,1,31,2207,10,1,2015,7,3,23,32.24981111,-93.82368056,2,10,1,1,STONEWALL,Louisiana
13257,22,220027,1,71,1690,11,1,2015,1,4,38,29.99183611,-90.10963889,3,1,1,1,NEW ORLEANS,Louisiana
